date,state,mean,lower_80,upper_80
2020-03-02,Maine,1.36,1.13,1.54
2020-03-03,Maine,1.36,1.15,1.53
2020-03-04,Maine,1.35,1.13,1.48
2020-03-05,Maine,1.35,1.16,1.51
2020-03-06,Maine,1.34,1.2,1.53
2020-03-07,Maine,1.33,1.19,1.5
2020-03-08,Maine,1.31,1.16,1.46
2020-03-09,Maine,1.3,1.15,1.44
2020-03-10,Maine,1.29,1.13,1.41
2020-03-11,Maine,1.27,1.13,1.39
2020-03-12,Maine,1.26,1.13,1.37
2020-03-13,Maine,1.24,1.12,1.35
2020-03-14,Maine,1.22,1.12,1.34
2020-03-15,Maine,1.2,1.1,1.31
2020-03-16,Maine,1.18,1.07,1.28
2020-03-17,Maine,1.16,1.06,1.25
2020-03-18,Maine,1.14,1.05,1.23
2020-03-19,Maine,1.12,1.03,1.21
2020-03-20,Maine,1.1,1.01,1.18
2020-03-21,Maine,1.08,0.99,1.16
2020-03-22,Maine,1.06,0.97,1.14
2020-03-23,Maine,1.05,0.94,1.11
2020-03-24,Maine,1.03,0.94,1.11
2020-03-25,Maine,1.02,0.93,1.1
2020-03-26,Maine,1.01,0.93,1.09
2020-03-27,Maine,1.0,0.92,1.09
2020-03-28,Maine,1.0,0.91,1.07
2020-03-29,Maine,0.99,0.91,1.07
2020-03-30,Maine,0.99,0.92,1.07
2020-03-31,Maine,0.99,0.91,1.06
2020-04-01,Maine,0.98,0.91,1.06
2020-04-02,Maine,0.98,0.9,1.06
2020-04-03,Maine,0.99,0.89,1.05
2020-04-04,Maine,0.99,0.91,1.07
2020-04-05,Maine,1.0,0.91,1.07
2020-04-06,Maine,1.0,0.93,1.1
2020-04-07,Maine,1.01,0.92,1.09
2020-04-08,Maine,1.01,0.94,1.1
2020-04-09,Maine,1.02,0.93,1.1
2020-04-10,Maine,1.03,0.95,1.11
2020-04-11,Maine,1.04,0.96,1.12
2020-04-12,Maine,1.05,0.97,1.13
2020-04-13,Maine,1.06,0.97,1.13
2020-04-14,Maine,1.07,0.99,1.15
2020-04-15,Maine,1.08,1.0,1.17
2020-04-16,Maine,1.08,0.98,1.15
2020-04-17,Maine,1.09,0.99,1.17
2020-04-18,Maine,1.09,1.01,1.18
2020-04-19,Maine,1.1,1.01,1.18
2020-04-20,Maine,1.1,1.01,1.18
2020-04-21,Maine,1.1,1.01,1.19
2020-04-22,Maine,1.1,1.01,1.19
2020-04-23,Maine,1.1,1.01,1.18
2020-04-24,Maine,1.1,1.0,1.18
2020-04-25,Maine,1.09,1.01,1.19
2020-04-26,Maine,1.09,1.0,1.17
2020-04-27,Maine,1.08,1.0,1.17
2020-04-28,Maine,1.08,0.99,1.16
2020-04-29,Maine,1.07,0.99,1.15
2020-04-30,Maine,1.06,0.97,1.14
2020-05-01,Maine,1.05,0.97,1.14
2020-05-02,Maine,1.04,0.97,1.14
2020-05-03,Maine,1.04,0.96,1.13
2020-05-04,Maine,1.03,0.93,1.1
2020-05-05,Maine,1.02,0.93,1.09
2020-05-06,Maine,1.01,0.93,1.08
2020-05-07,Maine,1.0,0.91,1.07
2020-05-08,Maine,1.0,0.9,1.07
2020-05-09,Maine,0.99,0.9,1.06
2020-05-10,Maine,0.98,0.9,1.05
2020-05-11,Maine,0.97,0.89,1.04
2020-05-12,Maine,0.96,0.88,1.03
2020-05-13,Maine,0.96,0.89,1.03
2020-05-14,Maine,0.95,0.88,1.03
2020-05-15,Maine,0.94,0.88,1.02
2020-05-16,Maine,0.94,0.86,1.01
2020-05-17,Maine,0.94,0.86,1.01
2020-05-18,Maine,0.93,0.87,1.01
2020-05-19,Maine,0.93,0.86,1.0
2020-05-20,Maine,0.93,0.84,0.99
2020-05-21,Maine,0.93,0.85,1.0
2020-05-22,Maine,0.93,0.85,0.99
2020-05-23,Maine,0.92,0.85,0.99
2020-05-24,Maine,0.92,0.85,1.0
2020-05-25,Maine,0.92,0.85,1.0
2020-05-26,Maine,0.92,0.85,0.99
2020-05-27,Maine,0.92,0.85,0.99
2020-05-28,Maine,0.92,0.84,0.99
2020-05-29,Maine,0.92,0.83,0.99
2020-05-30,Maine,0.91,0.85,0.99
2020-05-31,Maine,0.91,0.84,0.99
2020-06-01,Maine,0.91,0.83,0.98
2020-06-02,Maine,0.91,0.83,0.98
2020-06-03,Maine,0.9,0.82,0.98
2020-06-04,Maine,0.9,0.83,0.98
2020-06-05,Maine,0.9,0.82,0.97
2020-06-06,Maine,0.9,0.83,0.98
2020-06-07,Maine,0.9,0.82,0.97
2020-06-08,Maine,0.9,0.82,0.97
2020-06-09,Maine,0.89,0.81,0.96
2020-06-10,Maine,0.89,0.81,0.97
2020-06-11,Maine,0.89,0.8,0.96
2020-06-12,Maine,0.88,0.8,0.96
2020-06-13,Maine,0.88,0.8,0.97
2020-06-14,Maine,0.87,0.78,0.96
2020-06-15,Maine,0.87,0.78,0.95
2020-06-16,Maine,0.86,0.76,0.95
2020-06-17,Maine,0.86,0.75,0.95
2020-06-18,Maine,0.85,0.76,0.95
2020-06-19,Maine,0.85,0.75,0.95
2020-06-20,Maine,0.85,0.74,0.95
2020-06-21,Maine,0.85,0.74,0.97
2020-06-22,Maine,0.84,0.73,0.97
2020-06-23,Maine,0.84,0.72,0.96
2020-06-24,Maine,0.84,0.72,0.95
2020-06-25,Maine,0.84,0.7,0.95
2020-06-26,Maine,0.84,0.69,0.96
2020-06-27,Maine,0.84,0.69,0.97
2020-06-28,Maine,0.84,0.68,0.97
2020-06-29,Maine,0.84,0.69,0.98
2020-06-30,Maine,0.84,0.67,0.97
